endTime,artistName,trackName,minPlayed,dayOfWeek,dayOfMonth,timeOfDay,date
2021-03-29 01:14:00,Birdtalker,Ankle Bone,0.84005,Monday,29,1,2021-03-29 00:00:00
2021-03-29 01:20:00,Low Roar,Easy Way Out,0.7308333333333333,Monday,29,1,2021-03-29 00:00:00
2021-03-29 01:20:00,Low Roar,I'll Keep Coming,5.872433333333333,Monday,29,1,2021-03-29 00:00:00
2021-04-05 20:43:00,Ana Santos,Pintinho amarelinho,0.12443333333333334,Monday,5,20,2021-04-05 00:00:00
2021-04-05 20:45:00,Virtual Orchestra,"Bobeou, Dançou",0.3845,Monday,5,20,2021-04-05 00:00:00
2021-04-05 20:46:00,Aline Romeiro,"Brilha, Brilha Estrelinha",1.5826666666666667,Monday,5,20,2021-04-05 00:00:00
2021-04-05 20:49:00,Aline Romeiro,Alecrim,2.2142166666666667,Monday,5,20,2021-04-05 00:00:00
2021-04-05 20:51:00,Simone Vioto,Mãezinha do Céu,2.6351,Monday,5,20,2021-04-05 00:00:00
2021-04-05 20:55:00,Isadora Canto,Pra Te Fazer Dormir,3.4,Monday,5,20,2021-04-05 00:00:00
2021-04-05 20:56:00,A Rainha De Cantigas De Roda,Se Essa Rua Fosse Minha,1.2083333333333333,Monday,5,20,2021-04-05 00:00:00
2021-04-05 20:59:00,Vera Lucia,Dorme Neném,2.9371,Monday,5,20,2021-04-05 00:00:00
2021-04-05 21:00:00,Hélio Ziskind,Boi da Cara Preta,1.6886666666666665,Monday,5,21,2021-04-05 00:00:00
2021-04-05 21:02:00,Bia Bedran,Dorme Menina,1.6341500000000002,Monday,5,21,2021-04-05 00:00:00
2021-04-13 15:51:00,Céu,Pot-Pourri: Fffree / Falta de Ar - Ao Vivo,11.123316666666666,Tuesday,13,15,2021-04-13 00:00:00
2021-04-13 15:55:00,Céu,Amor de Antigos - Ao Vivo,3.7471,Tuesday,13,15,2021-04-13 00:00:00
2021-04-13 15:59:00,Céu,Contravento - Ao Vivo,4.558000000000001,Tuesday,13,15,2021-04-13 00:00:00
2021-04-13 16:03:00,Céu,Comadi - Ao Vivo,3.3151,Tuesday,13,16,2021-04-13 00:00:00
2021-04-13 16:07:00,Céu,Retrovisor - Ao Vivo,4.176,Tuesday,13,16,2021-04-13 00:00:00
2021-04-13 16:11:00,Céu,Teju Na Estrada (Instrumental) - Ao Vivo,4.102216666666667,Tuesday,13,16,2021-04-13 00:00:00
2021-04-13 16:17:00,Céu,Pot-Pourri: Sereia / Grains de Beauté - Ao Vivo,6.584233333333333,Tuesday,13,16,2021-04-13 00:00:00
2021-04-13 16:23:00,Céu,Streets Bloom - Ao Vivo,5.368666666666667,Tuesday,13,16,2021-04-13 00:00:00
2021-04-13 16:29:00,Céu,Cangote - Ao Vivo,5.907766666666666,Tuesday,13,16,2021-04-13 00:00:00
2021-04-13 16:33:00,Céu,Piel Canela - Ao Vivo,3.8788833333333335,Tuesday,13,16,2021-04-13 00:00:00
2021-04-13 16:38:00,Céu,Mil e uma Noites de Amor - Ao Vivo,5.0091,Tuesday,13,16,2021-04-13 00:00:00
2021-04-13 16:41:00,Céu,10 Contados - Ao Vivo,3.445333333333333,Tuesday,13,16,2021-04-13 00:00:00
