Name,Id,Genres,Popularity
Charlie Brown Jr.,1on7ZQ2pvgeQF4vmIA09x5,"['brazilian rock', 'hard rock brasileiro', 'rock alternativo brasileiro', 'rock nacional brasileiro']",77
Charlie Brown Jr.,1on7ZQ2pvgeQF4vmIA09x5,"['brazilian rock', 'hard rock brasileiro', 'rock alternativo brasileiro', 'rock nacional brasileiro']",77
Charlie Brown Jr.,1on7ZQ2pvgeQF4vmIA09x5,"['brazilian rock', 'hard rock brasileiro', 'rock alternativo brasileiro', 'rock nacional brasileiro']",77
Charlie Brown Jr.,1on7ZQ2pvgeQF4vmIA09x5,"['brazilian rock', 'hard rock brasileiro', 'rock alternativo brasileiro', 'rock nacional brasileiro']",77
Charlie Brown Jr.,1on7ZQ2pvgeQF4vmIA09x5,"['brazilian rock', 'hard rock brasileiro', 'rock alternativo brasileiro', 'rock nacional brasileiro']",77
Filipe Ret,7gJN8W0589FisSYJS17K54,['pop rap brasileiro'],76
Djonga,204IwDdaHE4ymGk9Kya2pY,"['afrofuturismo brasileiro', 'rap mineiro']",74
Ferrugem,5ZfBThYiIIhL7jHMG8gDB2,['pagode'],74
Ferrugem,5ZfBThYiIIhL7jHMG8gDB2,['pagode'],74
Thiaguinho,1vppDmG3i5sXf3DJzrK4T1,"['pagode', 'sertanejo universitario']",74
Ferrugem,5ZfBThYiIIhL7jHMG8gDB2,['pagode'],74
Djonga,204IwDdaHE4ymGk9Kya2pY,"['afrofuturismo brasileiro', 'rap mineiro']",74
Djonga,204IwDdaHE4ymGk9Kya2pY,"['afrofuturismo brasileiro', 'rap mineiro']",74
Djonga,204IwDdaHE4ymGk9Kya2pY,"['afrofuturismo brasileiro', 'rap mineiro']",74
Djonga,204IwDdaHE4ymGk9Kya2pY,"['afrofuturismo brasileiro', 'rap mineiro']",74
Turma do Pagode,5JG9GISYjRLQUJMH2C6iJ5,"['pagode', 'pagode novo', 'sertanejo', 'sertanejo universitario']",73
Turma do Pagode,5JG9GISYjRLQUJMH2C6iJ5,"['pagode', 'pagode novo', 'sertanejo', 'sertanejo universitario']",73
Turma do Pagode,5JG9GISYjRLQUJMH2C6iJ5,"['pagode', 'pagode novo', 'sertanejo', 'sertanejo universitario']",73
Turma do Pagode,5JG9GISYjRLQUJMH2C6iJ5,"['pagode', 'pagode novo', 'sertanejo', 'sertanejo universitario']",73
Emicida,2d9LRvQJnAXRijqIJDDs2K,"['afrofuturismo brasileiro', 'brazilian hip hop', 'brazilian rock', 'funk ostentacao', 'hip hop tuga', 'manguebeat', 'pop lgbtq+ brasileira']",70
Delacruz,1MzXJ8AaHdidMAnjgcahS4,['pop nacional'],70
Racionais MC's,29CQLw9uLWsl8Qkz9holfr,"['boom bap brasileiro', 'brazilian hip hop', 'funk ostentacao']",70
Racionais MC's,29CQLw9uLWsl8Qkz9holfr,"['boom bap brasileiro', 'brazilian hip hop', 'funk ostentacao']",70
BK,1YOVBTvznjiDvtAj4ExHeo,['brazilian hip hop'],69
BK,1YOVBTvznjiDvtAj4ExHeo,['brazilian hip hop'],69
BK,1YOVBTvznjiDvtAj4ExHeo,['brazilian hip hop'],69
BK,1YOVBTvznjiDvtAj4ExHeo,['brazilian hip hop'],69
BK,1YOVBTvznjiDvtAj4ExHeo,['brazilian hip hop'],69
BK,1YOVBTvznjiDvtAj4ExHeo,['brazilian hip hop'],69
Froid,45Yz90pqjzEdJzpEQg1eII,"['brazilian hip hop', 'rap df']",68
Froid,45Yz90pqjzEdJzpEQg1eII,"['brazilian hip hop', 'rap df']",68
Pixote,0ciLF0bOuu2BhqzCEZgHoB,"['pagode', 'sertanejo universitario']",68
Froid,45Yz90pqjzEdJzpEQg1eII,"['brazilian hip hop', 'rap df']",68
Froid,45Yz90pqjzEdJzpEQg1eII,"['brazilian hip hop', 'rap df']",68
Froid,45Yz90pqjzEdJzpEQg1eII,"['brazilian hip hop', 'rap df']",68
Costa Gold,7q1aEytv83jXNECmyaMhgn,"['brazilian hip hop', 'trap brasileiro']",67
Costa Gold,7q1aEytv83jXNECmyaMhgn,"['brazilian hip hop', 'trap brasileiro']",67
Ana Gabriela,6a9WLQ5NsIV7U2qB16uFWD,['nova mpb'],66
Mumuzinho,34dfPo3Zi55yM6oV46q4y7,"['pagode', 'pagode novo']",66
